Date,Text,UserName,ScreenName,Bio,FollowersCount,FollowingCount,Language,RetweetCount,Location,Id_str,Source,Link
2020-11-12 03:34:23,"RT @yangwoning0209: #JUNGWON jungwonie bought new phone! it's samsung galaxy note 20💖 @ENHYPEN_members 
https://t.co/V3YanlAlvA",Chacaᴱᴺ⁻⁷➪𝐤𝐢𝐧𝐝𝐚 𝐢𝐚🍭,sunowuw,"⁰⁴✦ ─𝔼ℕℍ𝕐ℙ𝔼ℕ ─✦⁰¹⁰²⁰³⁰⁴⁰⁵
                                                                                                                      ༆𖣘꿈을 추구하다𖣘༆",404,375,en,68,,1326730030131503106,Twitter for Android,https://twitter.com/sunowuw/status/1326730030131503106
2020-11-12 03:33:50,"RT @yangwoning0209: #JUNGWON jungwonie bought new phone! it's samsung galaxy note 20💖 @ENHYPEN_members 
https://t.co/V3YanlAlvA",🍒Hp,junghoper,⟭⟬ @BTS_twt⟬⟭,558,61,en,68,BTS💜,1326729892554133504,Twitter for iPhone,https://twitter.com/junghoper/status/1326729892554133504
2020-11-12 03:31:51,"RT @SamsungMobile: Make their year, with Galaxy Buds Live.
Learn more: https://t.co/8d6C9mdPjZ https://t.co/AEngbO10DM",💜ᴮᴱChristi⁷💜🎆,joonstardust7,"OT7, love all Bangtan related things 💜",431,716,en,2085,💜,1326729393054494721,Twitter for Android,https://twitter.com/joonstardust7/status/1326729393054494721
2020-11-12 03:31:28,"RT @yangwoning0209: #JUNGWON jungwonie bought new phone! it's samsung galaxy note 20💖 @ENHYPEN_members 
https://t.co/V3YanlAlvA",η’ᴊᴜηɢωᴏη🌱,lemonko_,↳ 𝚜𝚞𝚙𝚙𝚘𝚛𝚝 𝙴𝚗𝚑𝚢𝚙𝚎𝚗 | 양정원 #ENHYPEN #젱양 🦅🐈 엔진1기 |,30,59,en,68,04.02.09,1326729298279976961,Twitter for iPhone,https://twitter.com/lemonko_/status/1326729298279976961
2020-11-12 03:31:19,"RT @rpfscrhyb: On 06.11.2020, SIRP/KRNT along with , Con-412/RPF/KRNT jointly apprehended one ToPB offender  and recovered  previously  sto…",R. D. Titussamuel,DTitussamuel,,1,8,en,6,,1326729260959035392,Twitter for Android,https://twitter.com/DTitussamuel/status/1326729260959035392
2020-11-12 03:30:29,"RT @SamsungMobile: Make their year, with Galaxy Buds Live.
Learn more: https://t.co/8d6C9mdPjZ https://t.co/AEngbO10DM",ᴮᴱ Giinie⁷ semi hiatus,Jiniesimista,"ᶠᵃⁿ ᵃᶜᶜᵒᵘⁿᵗ ♡♡♡ only ARMY, a veces desaparezco milenios",80,228,en,2085,,1326729051390816258,Twitter for iPhone,https://twitter.com/Jiniesimista/status/1326729051390816258
2020-11-12 03:29:08,"[WTS] Malaysia Only [DM]

BTS Galaxy Buds+BTS Photocards. 
Only use once to check compatibility with my device (sadly does not work well with my iPhone).

The cover already installed on the Buds case.

I am letting it go for *RM750* (samsung price: RM899)
*not including shipping. https://t.co/YsK2SL2uDU",ᴮᴱnora⁷💜,taekinkook,@BTS_twt’s ARMY💜,128,696,en,9,Malaysia,1326728708271452160,Twitter Web App,https://twitter.com/taekinkook/status/1326728708271452160
2020-11-12 03:28:43,"RT @SamsungMobile: Make their year, with Galaxy Buds Live.
Learn more: https://t.co/8d6C9mdPjZ https://t.co/AEngbO10DM",Wika Handayani,wikahandayani12,Diponegoro University,820,971,en,2085,,1326728605775224835,Twitter for Android,https://twitter.com/wikahandayani12/status/1326728605775224835
2020-11-12 03:26:24,"RT @SamsungMobile: Make their year, with Galaxy Buds Live.
Learn more: https://t.co/8d6C9mdPjZ https://t.co/AEngbO10DM",ᴮᴱ고래52,whale5252,,19,18,en,2085,,1326728022301442048,Twitter for Android,https://twitter.com/whale5252/status/1326728022301442048
2020-11-12 03:26:00,"RT @yangwoning0209: #JUNGWON jungwonie bought new phone! it's samsung galaxy note 20💖 @ENHYPEN_members 
https://t.co/V3YanlAlvA",🦌,O1HEESEUNG,♡⃕ #𝐇𝐄𝐄𝐒𝐄𝐔𝐍𝐆 𝟤𝟦/𝟩,2754,556,en,68,𝑖𝑙𝑎𝑛𝑑ㅡ𝑒𝑛ℎ𝑦𝑝𝑒𝑛✰,1326727919943643137,Twitter for iPhone,https://twitter.com/O1HEESEUNG/status/1326727919943643137
